RouteID,latitude,longitude,nodeIdx,road,address,tollName,agency,state,roadType,cost,payment,node,lanes,duration,tollGrpId,eloc,distance,type,Road Catagory
21,14.910155,75.27978,20680,AH 47;NH 48,"AH 47, Shiggaon, Haveri District, Karnataka, 581202",Bankapur Toll Plaza,NHAI,Karnataka;KA,NGQ,55,['cash'],94029755,4,88480.1,327,JVQLQB,1249993,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,14.556881,75.72816,21672,AH 47;NH 48,"AH 47, Ranibennur, Haveri District, Karnataka, 581145",Chalageri Toll Plaza,NHAI,Karnataka;KA,NGQ,140,['cash'],94029534,6,92644.5,336,JVQLHG,1315243.8,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,14.375712,76.106674,22363,AH 47;NH 48,"AH 47, Davanagere, Davanagere District, Karnataka, 577556",Hebbalu Toll Plaza,NHAI,Karnataka;KA,NGQ,125,['cash'],266306304,6,95441,328,JVQLGT,1363738.4,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,14.053986,76.560432,23242,AH 47;NH 48,"AH 47, Hiriyur, Chitradurga District, Karnataka, 577558",Guilalu Toll Plaza,NHAI,Karnataka;KA,NGQ,80,['cash'],292610151,6,99565.5,325,JVQ31S,1430286.9,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ,NGQ"
21,13.612212,76.95442,24209,AH 47;NH 48,"AH 47, Sira, Tumakuru District, Karnataka, 572125",Karjeevanhalli Toll Plaza,NHAI,Karnataka;KA,NGQ,100,['cash'],85824212,5,104424.3,54,JVQOHC,1499038.4,barrier,"NGQ,NGQ,NGQ,NGQ,NGQ"
21,13.302148,77.16197,24815,BH Road;AH 47;NH 48,"BH Road, Tumakuru, Tumakuru District, Karnataka, 572104",Kyathsandra Toll Plaza,NHAI,Karnataka;KA,NGQ,25,['cash'],85824174,5,107057,44,JVQ2CJ,1541250.9,barrier,"NGQ,NGQ,NGQ,NGQ"
21,13.11477,77.374705,25341,Tumkur Road;MBT Road;AH 47;NH 48,"Tumkur Road, Nelamangala, Bengaluru Rural District, Karnataka, 562123",Kulumepalya Nelamangla Toll Plaza,NHAI,Karnataka;KA,NGQ,25,['cash'],86090331,5,109752.6,65,JVPZR9,1572714,barrier,"NGQ,NGQ,NGQ"
21,13.090821,77.400064,25405,Nelamangala Bypass;Tumkur Road;MBT Road;AH 47;NH 48,"Nelamangala Bypass, Sadashiva Nagar, Nelamangala, Karnataka, 562123",Nelamangla Toll Plaza,NHAI,Karnataka;KA,NGQ,20,['cash'],86090375,0,110113.9,390522661,JVZOSH,1576712.4,barrier,"NGQ,NGQ"
21,13.193642,77.64968,26097,Bangalore Bellary Road;Bangalore Hyderabad Highway;International Airport Road;AH 43;NH 44,"Bangalore Bellary Road, Navarathna Agrahara, Bengaluru, Karnataka, 562157",Navayuga Devanahalli Toll Plaza,NHAI,Karnataka;KA,NGQ,110,['cash'],271149899,0,113606.7,426,JVPKPB,1618584.8,barrier,NGQ
22,24.24139,72.462676,2007,Abu Road;NH 27,"Abu Road, Palanpur, Banaskantha District, Gujarat, 385001",Khemana Toll Plaza,NHAI,Gujarat;GJ,NGQ,75,['cash'],85062948,6,9181.3,201,JVI7ZO,116959.6,barrier,"NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,NGQ,NGQ,NHY,NHY,NHY,NHY,NHY,NHY,RDA,RDA,RDA,RDA,RDA,NHY,NHY,NHY,NHY,NGQ,NGQ,NGQ,NGQ,NHY,NHY"
